No,Source ID(s),Concept,Code,Misconception,Example,Curation note,wrong_example,correct_example
51,McMining 24,"LO, VA",LO-03,Student believes that for-loop variables must be explicitly initialized before the loop.,"i = 0 before for i in range(5), although the loop header already manages i.",Kept.,"program CekBilanganPrima
kamus
  n, i : integer
  prima : boolean
algoritma
  input(n)
  if n < 2 then
    prima <- false
  else
    prima <- true
    i <- 0
    for i <- 2 to n - 1 do
      if n mod i == 0 then
        prima <- false
      endif
    endfor
  endif
  output(prima)
endprogram","program CekBilanganPrima
kamus
  n, i : integer
  prima : boolean
algoritma
  input(n)
  if n < 2 then
    prima <- false
  else
    prima <- true
    for i <- 2 to n - 1 do
      if n mod i == 0 then
        prima <- false
      endif
    endfor
  endif
  output(prima)
endprogram"
52,McMining 25,"LO, VA",LO-04,Student believes that modifying a for-loop variable inside the loop body does not affect the next iteration's value.,for i in range(10): if i % 2 == 0: i += 1; student expects this to skip even numbers.,Kept.,"program MatriksIdentitas
kamus
  n, i, j : integer
  baris : string
algoritma
  input(n)
  for i <- 1 to n do
    baris <- """"
    for j <- 1 to n do
      if i == j then
        baris <- baris + ""1 ""
      else
        baris <- baris + ""0 ""
      endif
    endfor
    i <- i + n
    output(baris)
  endfor
endprogram","program MatriksIdentitas
kamus
  n, i, j : integer
  baris : string
algoritma
  input(n)
  for i <- 1 to n do
    baris <- """"
    for j <- 1 to n do
      if i == j then
        baris <- baris + ""1 ""
      else
        baris <- baris + ""0 ""
      endif
    endfor
    output(baris)
  endfor
endprogram"
53,McMining 38,LO,LO-05,Student believes that while-loops execute their body only once if the condition is true.,"Student treats while user_input != ""done"" like a one-time if statement.",Kept.,"program HitungUmurAnjing
kamus
  umur : integer
  umurAnjing : real
algoritma
  input(umur)
  while umur <= 2 do
    umurAnjing <- umur * 10.5
  endwhile
  while umur > 2 do
    umurAnjing <- 21 + (umur - 2) * 4
  endwhile
  output(umurAnjing)
endprogram","program HitungUmurAnjing
kamus
  umur : integer
  umurAnjing : real
algoritma
  input(umur)
  if umur <= 2 then
    umurAnjing <- umur * 10.5
  else
    umurAnjing <- 21 + (umur - 2) * 4
  endif
  output(umurAnjing)
endprogram"
54,Qian 20,LO,LO-06,"In nested loops, the outer and inner loops execute the same number of times.",Student expects both loops in a nested loop to repeat equally.,Renumbered from old LO-07.,"for i <- 1 to 2 do
    for j <- 1 to 3 do
        output(i, j)
    endfor
endfor
{ siswa kira loop luar dan loop dalam sama-sama berjalan 2 kali, padahal loop dalam berjalan 3 kali untuk tiap 1 kali loop luar }","for i <- 1 to 2 do
    for j <- 1 to 3 do
        output(i, j)
    endfor
endfor
{ loop dalam jalan 3x untuk tiap 1x loop luar, tidak sama banyak }"
55,Qian 21,LO,LO-07,Student believes that for-loops are better than while-loops.,Student always prefers for-loop even when the number of repetitions is unknown.,Renumbered from old LO-08.,"jumlah <- 0
for i <- 1 to 100 do
    input(angka)
    jumlah <- jumlah + angka
endfor
output(jumlah)
{ siswa memaksakan for-loop dengan batas 100 yang asal-asalan, padahal banyaknya angka yang akan diinput sebenarnya tidak diketahui; program tetap meminta 100 kali input walau data sudah habis }","jumlah <- 0
input(angka)
while angka <> -1 do
    jumlah <- jumlah + angka
    input(angka)
endwhile
output(jumlah)
{ while-loop berhenti tepat saat sentinel -1 dibaca; jumlah pengulangan tidak perlu ditebak di awal }"
56,Qian 22,LO,LO-08,Student believes that every while-loop can be converted into a for-loop.,Student assumes all condition-controlled loops can be rewritten as count-controlled loops.,Renumbered from old LO-09.,"input(password)
for i <- 1 to 100 do
    input(guess)
endfor
{ siswa memaksa mengganti while dengan for berbatas 100 yang asal-asalan; program tetap meminta tebakan sampai 100 kali walau password sudah benar sejak tebakan pertama }","input(password)
guess <- """"
while guess <> password do
    input(guess)
endwhile
{ while-loop berhenti tepat saat guess sama dengan password; jumlah percobaan tidak bisa dipastikan sebelumnya sehingga tidak selalu bisa diubah menjadi for-loop berbatas pasti }"
57,Qian 23,LO,LO-09,Student believes that while-loops are better than for-loops.,Student always prefers while-loop even when the number of repetitions is known.,Renumbered from old LO-10.,"i <- 1
while i <= 5 do
    output(i)
    i <- i + 1
endwhile
{ siswa selalu memakai while walau jumlah pengulangan (5 kali) sudah pasti diketahui sejak awal }","for i <- 1 to 5 do
    output(i)
endfor
{ ketika jumlah pengulangan sudah pasti diketahui, for-loop lebih ringkas dan sesuai }"
58,Qian 17; Sychev LOOP1; Sychev LOOP2; Bastian&Mühling WD,LO,LO-10,"Student believes a loop condition is checked at the wrong time, such as continuously during the loop body or only after the body rather than at the loop's defined condition-check point.","Inside a while loop, student expects the loop to stop immediately when the exit condition becomes false in the middle of the body.",Merged old LO-11 and LO-19.,"i <- 1
while i <= 5 do
    output(i)
    i <- i + 1
endwhile
{ siswa kira loop berhenti seketika di tengah badan saat kondisi jadi salah }","i <- 1
while i <= 5 do
    output(i)
    i <- i + 1
endwhile
{ kondisi hanya dicek di titik cek (awal iterasi), bukan terus-menerus }"
59,Sychev LOOP3,LO,LO-11,Student believes a loop iteration continues even after its control condition evaluates to false.,-,Renumbered from old LO-12.,"i <- 1
while i <= 3 do
    output(i)
    i <- i + 1
endwhile
{ siswa kira badan loop tetap dijalankan sekali lagi meski kondisi i <= 3 sudah bernilai salah }","i <- 1
while i <= 3 do
    output(i)
    i <- i + 1
endwhile
{ iterasi berhenti begitu kondisi bernilai salah }"
60,Sychev LOOP5,LO,LO-12,Student believes an iteration can be skipped even when the loop condition is true.,-,Renumbered from old LO-14.,"for i <- 1 to 5 do
    output(i)
endfor
{ siswa kira ada iterasi yang bisa ""dilewati"" begitu saja padahal kondisi loop masih benar }","for i <- 1 to 5 do
    output(i)
endfor
{ selama kondisi loop benar, tiap iterasi pasti dieksekusi }"
61,Sychev LOOP6,LO,LO-13,Student believes a for-loop's initialization step occurs after its iteration.,Q#178: student says the second initialization was not performed instead of realizing the loop condition had not been evaluated.,Renumbered from old LO-15.,"for i <- 1 to 3 do
    output(i)
    i <- 1
endfor
{ siswa kira inisialisasi i diulang lagi setelah tiap iterasi, bukan hanya sekali di awal loop }","for i <- 1 to 3 do
    output(i)
endfor
{ inisialisasi i hanya terjadi SEKALI di awal loop, sebelum iterasi pertama dimulai }"
62,Sychev LOOP7,LO,LO-14,Student skips the update step of a for-loop or foreach-loop after an iteration finishes.,-,Renumbered from old LO-16.,"i <- 1
while i <= 3 do
    output(i)
endwhile
{ langkah update (i <- i + 1) dilewatkan -> loop tak berhenti }","i <- 1
while i <= 3 do
    output(i)
    i <- i + 1
endwhile"
63,Sychev LOOP8,LO,LO-15,Student skips or omits the initialization step of a for-loop when the loop starts.,-,Renumbered from old LO-17.,"while i <= 3 do
    output(i)
    i <- i + 1
endwhile
{ inisialisasi awal i dilewatkan }","i <- 1
while i <= 3 do
    output(i)
    i <- i + 1
endwhile"
64,Sychev NOT2pl,LO,LO-16,Student calls the entire program a loop.,-,Renumbered from old LO-18.,"input(x)
y <- x + 1
output(y)
{ siswa menyebut seluruh program ini sebagai ""loop"" walau tidak ada struktur perulangan sama sekali }","input(x)
y <- x + 1
output(y)
{ ini adalah sequence (urutan statement biasa), bukan loop; loop memerlukan struktur for/while yang berulang }"
65,Bastian&Mühling IB,LO,LO-17,"Student assumes the loop can make choices based on future states of the machine, stopping execution in anticipation of a condition that has not yet occurred.","Student halts a loop trace one step early, reasoning that the next action 'would' violate the condition, even though it has not been executed yet.",Renumbered from old LO-20.,"i <- 1
while i <= 5 do
    output(i)
    i <- i + 1
endwhile
{ siswa berhenti trace di i=4, beralasan ""i=5 nanti akan melanggar kondisi"", padahal i=5 masih memenuhi i <= 5 }","i <- 1
while i <= 5 do
    output(i)
    i <- i + 1
endwhile
{ loop hanya berhenti saat kondisinya BENAR-BENAR dicek dan bernilai salah, bukan karena antisipasi keadaan yang belum terjadi }"
66,Bastian&Mühling IN1,LO,LO-18,Student believes the outer and inner loops of a nested loop execute interdependently rather than the inner loop fully completing for each outer iteration.,"In a nested loop, student interleaves outer and inner loop steps instead of completing all inner iterations before advancing the outer loop.",Renumbered from old LO-21.,"for i <- 1 to 2 do
    for j <- 1 to 3 do
        output(i, j)
    endfor
endfor
{ siswa menelusuri i dan j berselang-seling, misal i=1,j=1,i=2,j=1,i=1,j=2,..., padahal j harus selesai penuh dulu untuk tiap i }","for i <- 1 to 2 do
    for j <- 1 to 3 do
        output(i, j)
    endfor
endfor
{ semua iterasi loop dalam selesai dulu sebelum loop luar maju }"
67,Bastian&Mühling IN2,LO,LO-19,"Student believes the counter of an inner loop with a fixed number of repetitions overwrites the counter of the outer loop, causing both loops to be treated as one loop body.","In a nested loop with fixed repetition counts, student merges the two counters into a single running count instead of tracking them separately.",Renumbered from old LO-22.,"for i <- 1 to 2 do
    for i <- 1 to 3 do
        output(i)
    endfor
endfor
{ siswa memakai variabel counter yang sama (i) untuk loop luar dan loop dalam, sehingga keduanya tergabung jadi satu }","for i <- 1 to 2 do
    for j <- 1 to 3 do
        output(i, j)
    endfor
endfor
{ loop luar dan loop dalam harus punya counter terpisah (i dan j) agar keduanya dilacak sendiri-sendiri }"
68,Bastian&Mühling IOL,LO,LO-20,"Student believes the outer loop with a fixed number of repetitions is ignored entirely, so no repetition of the outer loop takes place.","In a nested loop, student traces only the inner loop's repetitions once and never repeats the whole nested structure for the outer loop's count.",Renumbered from old LO-23.,"for i <- 1 to 3 do
    for j <- 1 to 2 do
        output(i, j)
    endfor
endfor
{ siswa hanya menelusuri loop dalam sekali (j=1,2) lalu berhenti, mengabaikan bahwa loop luar mengulang seluruh struktur 3 kali }","for i <- 1 to 3 do
    for j <- 1 to 2 do
        output(i, j)
    endfor
endfor
{ seluruh loop dalam (j=1 sampai 2) harus diulang lagi untuk SETIAP iterasi loop luar, total 3 kali }"
69,Bastian&Mühling EXN,LO,LO-21,"Student believes the counter of a loop with a fixed number of repetitions represents how many statements are executed in total, rather than how many times the whole loop body repeats.","For a loop meant to repeat 5 times with 2 statements in its body, student expects only 5 total statement executions instead of 10.",Renumbered from old LO-24.,"for i <- 1 to 5 do
    output(""langkah A"")
    output(""langkah B"")
endfor
{ siswa kira total statement yang dieksekusi hanya 5 (sama dengan jumlah iterasi), padahal ada 2 statement tiap iterasi }","for i <- 1 to 5 do
    output(""langkah A"")
    output(""langkah B"")
endfor
{ loop 5 kali dengan 2 statement per iterasi menghasilkan total 10 kali eksekusi statement, bukan 5 }"
70,Bastian&Mühling MC,LO,LO-22,"Student believes the counters of two nested loops with fixed numbers of repetitions should be multiplied together to determine the number of iterations, rather than understanding the inner loop repeats fully for each outer iteration.","For an outer loop repeating 3 times and an inner loop repeating 2 times, student says 'so six times' when asked how many times a single inner-loop statement executes total, without tracing the nested structure.",Renumbered from old LO-25.,"for i <- 1 to 3 do
    for j <- 1 to i do
        output(i, j)
    endfor
endfor
{ siswa menjawab ""3 x 3 = 9 kali"" tanpa menelusuri loop, padahal batas loop dalam berubah (1 to i) sehingga total sebenarnya 1+2+3 = 6 }","for i <- 1 to 3 do
    for j <- 1 to i do
        output(i, j)
    endfor
endfor
{ total eksekusi harus ditelusuri per iterasi outer: i=1 -> 1x, i=2 -> 2x, i=3 -> 3x, totalnya 1+2+3 = 6, bukan sekadar mengalikan batas kedua loop }"
71,Grover&Basu IdenticalOutput,LO,LO-23,"Student believes a loop must produce identical output on every iteration, and struggles to recognize that a loop is applicable when output varies across iterations.","Given a task requiring varying output per iteration, student assumes a loop cannot be used and instead writes repeated, near-duplicate statements.",Renumbered from old LO-26.,"output(1)
output(2)
output(3)
output(4)
output(5)
{ siswa tulis statement berulang karena kira loop harus output identik }","for i <- 1 to 5 do
    output(i)
endfor
{ loop tetap bisa dipakai walau keluaran tiap iterasi berbeda }"
